"from","to","cost"
"α","δ","0,1"
"α","λ","0,1"
"δ","α","0,1"
"δ","λ","0,1"
"ε","θ","0,1"
"ε","ο","0,1"
"ε","ς","0,1"
"ε","σ","0,1"
"θ","ε","0,1"
"θ","ο","0,1"
"θ","ς","0,1"
"θ","σ","0,1"
"λ","α","0,1"
"λ","δ","0,1"
"ο","ε","0,1"
"ο","θ","0,1"
"ο","ς","0,1"
"ο","σ","0,1"
"ς","ε","0,1"
"σ","ε","0,1"
"ς","θ","0,1"
"σ","θ","0,1"
"ς","ο","0,1"
"σ","ο","0,1"
"η","ν","0,2"
"ν","η","0,2"
"γ","τ","0,25"
"η","π","0,25"
"π","η","0,25"
"π","τ","0,25"
"τ","γ","0,25"
"τ","π","0,25"
"τ","ψ","0,25"
"ψ","τ","0,25"
"γ","ι","0,333333333"
"γ","π","0,333333333"
"γ","ρ","0,333333333"
"γ","υ","0,333333333"
"ι","γ","0,333333333"
"ι","τ","0,333333333"
"λ","ν","0,333333333"
"ν","λ","0,333333333"
"π","γ","0,333333333"
"ρ","γ","0,333333333"
"τ","ι","0,333333333"
"τ","υ","0,333333333"
"υ","γ","0,333333333"
"υ","τ","0,333333333"
"η","κ","0,5"
"ι","ρ","0,5"
"ι","υ","0,5"
"κ","η","0,5"
"μ","ν","0,5"
"ν","μ","0,5"
"ν","π","0,5"
"π","ν","0,5"
"ρ","ι","0,5"
"ρ","υ","0,5"
"υ","ι","0,5"
"υ","ρ","0,5"
"ζ","τ",1
"τ","ζ",1
"γι","π","0,1"
"ις","κ","0,1"
"ισ","κ","0,1"
"ιτ","π","0,1"
"λλ","μ","0,1"
"τι","π","0,1"
"ττ","π","0,125"
"λι","ν","0,25"
"τι","η","0,25"
"ιρ","η","0,333333333"
"ιτ","η","0,333333333"
"δι","ν","0,5"
"ει","η","0,5"
"ιγ","η","0,5"
"ιι","η","0,5"
"ιι","π","0,5"
"λλ","ν","0,5"
"τι","ν","0,5"
"ιι","τ",1
"ιτ","ν",1
"κ","ις","0,1"
"κ","ισ","0,1"
"μ","λλ","0,1"
"π","γι","0,1"
"π","ιτ","0,1"
"π","τι","0,1"
"π","ττ","0,125"
"η","τι","0,25"
"ν","λι","0,25"
"η","ιρ","0,333333333"
"η","ιτ","0,333333333"
"η","ει","0,5"
"η","ιγ","0,5"
"η","ιι","0,5"
"ν","δι","0,5"
"ν","λλ","0,5"
"ν","τι","0,5"
"π","ιι","0,5"
"ν","ιτ",1
"τ","ιι",1
"πι","τη","0,2"
"τη","πι","0,2"
"ηι","ιν","0,25"
"ην","μι","0,25"
"ιν","ηι","0,25"
"ιπ","πτ","0,25"
"μι","ην","0,25"
"πτ","ιπ","0,25"
"ιη","πι","0,333333333333333"
"πι","ιη","0,333333333333333"
"ιτ","πι","0,5"
"πι","ιτ","0,5"
